"Attribute","Description","Required","Valid Values"
"software_and_version","Relevant software and version used to collect and process data.",TRUE,"Cell Ranger v9.0.0, Cell Ranger v8.0.1, Cell Ranger v8.0.0, Cell Ranger v7.2.0, Cell Ranger v7.1.0, Cell Ranger v7.0.1, Cell Ranger v7.0.0, Cell Ranger v6.1.2, Cell Ranger v6.1.1, Cell Ranger v6.1.0, Cell Ranger v6.0.2, Cell Ranger v6.0.1, Cell Ranger v6.0.0, Cell Ranger v5.0.1, Cell Ranger v5.0.0, Cell Ranger v4.0.0, Cell Ranger v3.1.0, Cell Ranger v3.0.2, Cell Ranger v3.0.1, Cell Ranger v3.0.0"
"alignment_reference","The genomic/transcriptomic reference used for performing read alignment against.",TRUE,"10x Cell Ranger Human GRCh38 2024-A, 10x Cell Ranger Human GRCh38 2020-A"
"sequencing_saturation","Fraction of reads originating from an already-observed UMI. Is a function of library complexity and sequencing depth calculated as the ratio of the number of confidently-mapped reads with a valid cell-barcode and valid UMI divided by the subset of those reads that had a non-unique combination of cell-barcode, UMI, gene.",TRUE,""
"estimated_cells","Number of cells estimated by Cell Ranger software",TRUE,""
"avg_reads_cell","total_reads/estimated_cells as calculated by Cell Ranger",TRUE,""
"reads_in_cells","Fraction of reads from droplets predicted by Cell Ranger to contain a cell",TRUE,""
"valid_bc","Fraction of reads with cell-barcodes that match the whitelist.",TRUE,""
"Q30_bc","Fraction of bases with Q-score ≥30 in the cell barcode sequences. This is the i7 index (I1) read for the Single Cell 3' v1 chemistry and the R1 read for the Single Cell 3' v2 chemistry.",TRUE,""
"Q30_read","Q30 Bases in RNA; Fraction of bases with Q-score at least 30 in the RNA read sequences. This is Illumina R1 for the Single Cell 3' v1 chemistry and Illumina R2 for the Single Cell 3' v2 chemistry.",TRUE,""
"Q30_UMI","Q30 Bases in UMI; Fraction of bases with Q-score at least 30 in the UMI sequences. This is the R2 read for the Single Cell 3' v1 chemistry and the R1 read for the Single Cell 3' v2 chemistry.",TRUE,""
"valid_UMI","Fraction of UMI that match expected whitelist of UMI as calculated by Cell Ranger",TRUE,""
"median_UMI_cell","Total Genes Detected Median UMI Counts per Cell; The number of genes with at least one UMI count in any cell.",TRUE,""
"median_genes_cell","Median number of read pairs sequenced from the cells assigned to this sample. In case of multiplexing, only cell-associated barcodes assigned exactly one CMO can be assigned to a sample",TRUE,""
"genes_detected","The number of genes with at least one UMI count in any cell",TRUE,""
"reads_mapped","Fraction of reads that are mapped to the genome",TRUE,""
"confident_reads","Reads mapped confidently to genome; Fraction of reads that mapped uniquely to a genome. A gene mapped to exonic loci from a single gene and also to non-exonic loci is considered uniquely mapped to one of the exonic loci",TRUE,""
"confident_intergenic","Fraction of reads that mapped uniquely to an intergenic region of the genome",TRUE,""
"confident_intronic","Fraction of reads that mapped uniquely to an intronic region of the genome",TRUE,""
"confident_exonic","Fraction of reads that mapped uniquely to an exonic region of the genome",TRUE,""
"confident_transcriptome","Reads mapped confidently to transcriptome; Fraction of reads that mapped to a unique gene in the transcriptome. The read must be consistent with annotated splice junctions. These reads are considered for UMI counting",TRUE,""
"reads_antisense","Fraction of reads confidently mapped to the transcriptome, but on the opposite strand of their annotated gene. A read is counted as antisense if it has any alignments that are consistent with an exon of a transcript but antisense to it, and has no sense alignments",TRUE,""
