Key,Key Description,Type,Valid Values,DependsOn,Required,Source,Module
vendor,Information about vendor (novagene) processes,STRING,,,False,,NGS
sample_barcode,The nucleotide sequence of the sample barcode used to identify cells from a single sample in cell hashing or multiplexing assays.,STRING,,,False,,NGS
RIN,RNA Integrity Number,NUM,,,False,,Experimental_Data
rna_batch,Batch in which RNA sample was isolated,STRING,,,False,,Experimental_Data
rna_isolation_kit,The technology used to isolate the RNA,STRING,,,False,,Experimental_Data
library_batch,Batch library was prepared in,STRING,,,False,,NGS
total_reads,Total number of raw sequencing reads from a library,NUM,,,False,,NGS
valid_barcode_reads,Fraction of reads with cell barcodes that match the whitelist,NUM,,,False,,NGS
number_cells,Number of cells or nuclei sequenced,NUM,,,False,,NGS
median_genes,The median number of genes detected (with nonzero UMI counts) across all cell-associated barcodes,NUM,,,False,,NGS
unique_genes,The number of unique genes,NUM,,,False,,NGS
mapped_reads,Mapped reads refer to those reads from the sequenced sample that align directly to a single region (set of loci) on the reference genome.,NUM,,,False,,NGS
rRNA_rate,The percentage of rRNA in a cell,NUM,,,False,,NGS
kit_number,Kit serial number,STRING,,,True,,NGS
DV200,A method to determine the quality of RNA obtained from a sample. DV200 evaluates the percentage of fragments of greater than 200 nucleotides.,NUM,,,False,,Experimental_Data
duplication_rate,The duplication rate is the fraction of mapped reads where any 2 reads share the same 5_ and 3_ coordinates.,NUM,,,False,,NGS
median_umis,The median number of total Unique Molecular Identifier (UMI) counts across all cell-associated barcodes,STRING,,,False,,NGS
ratio_mitochondria,Percent mitochondria per cell,STRING,,,False,,NGS
individual_id,"A unique identifier for every enrolled individual. Consists of 'site' combined with 'local_id' and 'participant_id', e.g., BCH00001_0",STRING,,,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.09d&code=C69256&ns=ncit,Clinical
sample_id,"Unique sample identifier, formatted as 'individual_id'_'participant_id'_'collection_num'_'type_key'_'sample_num'",,,,True,,
Component,Category of metadata; provide the same one for all items/rows.,,,,True,https://w3id.org/biolink/vocab/category,
